id,how_big_meals,how_much_snacked,how_healthy,created_at,updated_at
1,2,2,2,"2019-10-25 09:43:21.111448","2019-10-25 09:43:21.111448"
2,1,1,1,"2019-11-02 03:33:21.635339","2019-11-02 03:33:21.635339"
3,1,1,0,"2019-11-02 04:03:57.068145","2019-11-02 04:03:57.068145"
4,2,1,2,"2019-12-06 16:19:10.421788","2019-12-06 16:19:10.421788"
5,2,2,2,"2019-12-12 01:40:14.412061","2019-12-12 01:40:14.412061"
6,2,2,2,"2019-12-12 01:40:17.372526","2019-12-12 01:40:17.372526"
7,0,0,0,"2019-12-12 18:30:05.249013","2019-12-12 18:30:05.249013"
8,0,0,0,"2019-12-13 00:37:51.278051","2019-12-13 00:37:51.278051"
9,0,0,0,"2019-12-13 00:37:52.751562","2019-12-13 00:37:52.751562"
10,1,1,1,"2019-12-13 00:48:33.391749","2019-12-13 00:48:33.391749"
11,0,0,0,"2019-12-18 01:51:15.942798","2019-12-18 01:51:15.942798"
12,1,2,1,"2019-12-18 02:54:12.303892","2019-12-18 02:54:12.303892"
13,2,2,2,"2019-12-18 02:56:57.716532","2019-12-18 02:56:57.716532"
14,2,2,2,"2019-12-18 04:46:09.016267","2019-12-18 04:46:09.016267"
15,0,0,0,"2019-12-18 05:07:27.280383","2019-12-18 05:07:27.280383"
16,0,0,0,"2019-12-18 05:07:43.204028","2019-12-18 05:07:43.204028"
17,2,2,2,"2019-12-18 16:41:32.888792","2019-12-18 16:41:32.888792"
18,1,1,1,"2019-12-18 16:44:54.727230","2019-12-18 16:44:54.727230"
19,0,0,0,"2019-12-18 16:45:13.056258","2019-12-18 16:45:13.056258"
20,0,0,0,"2019-12-18 16:46:21.278039","2019-12-18 16:46:21.278039"
21,2,2,2,"2019-12-18 16:48:30.017160","2019-12-18 16:48:30.017160"
22,2,2,2,"2019-12-18 16:54:25.420180","2019-12-18 16:54:25.420180"
23,2,2,2,"2019-12-18 17:37:25.555557","2019-12-18 17:37:25.555557"
24,2,2,2,"2019-12-18 17:39:56.251983","2019-12-18 17:39:56.251983"
25,1,1,1,"2019-12-18 17:42:26.723580","2019-12-18 17:42:26.723580"
26,0,0,0,"2019-12-18 18:02:49.247518","2019-12-18 18:02:49.247518"
27,0,0,0,"2019-12-18 18:02:58.011921","2019-12-18 18:02:58.011921"
28,2,2,2,"2019-12-18 18:16:11.171221","2019-12-18 18:16:11.171221"
29,0,0,0,"2019-12-18 18:38:48.660352","2019-12-18 18:38:48.660352"
30,0,0,0,"2019-12-18 18:38:56.538412","2019-12-18 18:38:56.538412"
31,0,1,1,"2019-12-23 21:35:26.551443","2019-12-23 21:35:26.551443"
32,1,2,2,"2019-12-23 21:54:27.873135","2019-12-23 21:54:27.873135"
